iter	Passed	Remaining
399	33297	382919
400	33379	382826
401	33462	382739
402	33631	383633
403	33717	383581
404	33814	383650
405	33917	383783
406	34023	383954
407	34113	383942
408	34196	383852
409	34291	383898
410	34367	383723
411	34452	383664
412	34532	383534
413	34607	383362
414	34705	383436
415	34792	383382
416	34876	383309
417	34949	383105
418	35039	383089
419	35129	383073
420	35212	382989
421	35289	382837
422	35375	382771
423	35457	382674
424	35547	382658
425	35637	382638
426	35728	382636
427	35811	382547
428	35891	382428
429	35974	382329
430	36047	382139
431	36118	381921
432	36198	381800
433	36287	381775
434	36378	381761
435	36476	381832
436	36551	381661
437	36633	381560
438	36716	381470
439	36813	381525
440	36907	381546
441	36984	381391
442	37069	381326
443	37153	381243
444	37235	381145
445	37304	380904
446	37392	380869
447	37462	380646
448	37546	380568
449	37624	380429
450	37713	380391
451	37790	380243
452	37865	380074
453	37951	380015
454	38054	380126
455	38147	380132
456	38231	380056
457	38303	379861
458	38388	379788
459	38477	379753
460	38571	379770
461	38652	379664
462	38730	379529
463	38807	379377
464	38886	379250
465	38972	379184
466	39058	379129
467	39140	379022
468	39226	378969
469	39304	378827
470	39386	378732
471	39475	378698
472	39544	378471
473	39628	378397
474	39722	378404
475	39810	378367
476	39905	378388
477	39997	378385
478	40083	378327
479	40151	378094
480	40241	378064
481	40315	377899
482	40402	377842
483	40484	377743
484	40565	377633
485	40645	377515
486	40730	377446
487	40820	377420
488	40912	377412
489	40985	377238
490	41064	377107
491	41154	377080
492	41234	376968
493	41324	376942
494	41420	376972
495	41510	376943
496	41590	376827
497	41676	376764
498	41757	376653
499	41837	376537
500	41927	376510
501	42022	376531
502	42110	376482
503	42182	376290
504	42255	376113
505	42340	376044
506	42420	375929
507	42500	375807
508	42590	375780
509	42681	375761
510	42769	375722
511	42856	375661
512	42934	375531
513	43032	375567
514	43118	375510
515	43205	375449
516	43291	375390
517	43382	375368
518	43458	375216
519	43548	375189
520	43623	375031
521	43705	374929
522	43777	374743
523	43860	374652
524	43942	374554
525	44033	374533
526	44112	374415
527	44199	374359
528	44272	374183
529	44360	374138
530	44449	374097
531	44526	373955
532	44609	373866
533	44688	373742
534	44776	373693
535	44846	373500
536	44928	373400
537	44998	373203
538	45079	373093
539	45153	372932
540	45241	372886
541	45315	372720
542	45394	372601
543	45481	372546
544	45570	372509
545	45655	372431
546	45738	372349
547	45818	372231
548	45905	372176
549	45994	372135
550	46067	371969
551	46141	371806
552	46208	371591
553	46294	371522
554	46367	371354
555	46449	371264
556	46536	371203
557	46608	371028
558	46699	371009
559	46768	370810
560	46857	370765
561	46924	370554
562	47008	370475
563	47093	370401
564	47180	370349
565	47254	370184
566	47340	370126
567	47425	370051
568	47508	369967
569	47609	370018
570	47694	369945
571	47786	369929
572	47880	369921
573	48159	371349
574	48259	371388
575	48358	371418
576	48448	371379
577	48539	371351
578	48637	371377
579	48736	371403
580	48818	371309
581	48904	371237
582	49011	371329
583	49123	371453
584	49234	371571
585	49347	371705
586	49433	371634
587	49525	371608
588	49603	371481
589	49693	371436
590	49784	371401
591	49878	371394
592	49983	371465
593	50072	371413
594	50219	371792
595	50325	371866
596	50418	371850
597	50502	371758
598	50600	371771
599	50680	371659
600	50777	371661
601	50865	371606
602	50952	371538
603	51046	371525
604	51136	371481
605	51223	371413
606	51291	371206
607	51383	371179
608	51462	371057
609	51559	371059
610	51655	371053
611	51748	371036
612	51852	371086
