iter	Logloss
0	0.6103323012
1	0.5432586523
2	0.4888638583
3	0.4453248621
4	0.4136140838
5	0.3854662286
6	0.3622516386
7	0.3444340613
8	0.3298604254
9	0.3174818992
10	0.3072050843
11	0.2968756339
12	0.2894850373
13	0.2821394425
14	0.2768233133
15	0.2711794849
16	0.2663574832
17	0.2629692085
18	0.2594048331
19	0.2562145148
20	0.2540266114
21	0.2521320989
22	0.249892715
23	0.2479416465
24	0.2466358499
25	0.2450953348
26	0.2440795553
27	0.2427254973
28	0.2416194549
29	0.2406503542
30	0.239801542
31	0.2392443386
32	0.2385536172
33	0.2379286677
34	0.2375460696
35	0.236914636
36	0.2365745114
37	0.2361590427
38	0.2357764635
39	0.2353362184
40	0.2350271261
41	0.2348300571
42	0.2344835315
43	0.2341775815
44	0.2339345438
45	0.2337210707
46	0.2335206332
47	0.2333993954
48	0.2332373291
49	0.2330935109
50	0.2329603332
51	0.2327672579
52	0.2325995413
53	0.2325123009
54	0.2323687309
55	0.232270979
56	0.2321959552
57	0.232116283
58	0.2319950557
59	0.2319096936
60	0.2318395286
61	0.2317332996
62	0.2316778108
63	0.2315898552
64	0.2315459502
65	0.2314946734
66	0.2314025078
67	0.2313560538
68	0.2312839556
69	0.2312187789
70	0.2311629169
71	0.2310888692
72	0.2310553409
73	0.2310188782
74	0.2309576245
75	0.2309158911
76	0.2308555175
77	0.2308219867
78	0.2307658796
79	0.2307397759
80	0.2307067046
81	0.2306779197
82	0.2306260977
83	0.2305813167
84	0.2305391587
85	0.2304814955
86	0.2304561758
87	0.2304212111
88	0.2303940586
89	0.2303510782
90	0.2303257279
91	0.2302948964
92	0.2302730383
93	0.230251922
94	0.2302296086
95	0.2302064545
96	0.2301657877
97	0.230131736
98	0.2300970895
99	0.2300795849
100	0.2300516859
101	0.2300066257
102	0.2299854256
103	0.2299477677
104	0.2299253407
105	0.2299052852
106	0.2298894398
107	0.2298745782
108	0.2298398487
109	0.229818679
110	0.2298001895
111	0.2297759972
112	0.2297492693
113	0.2297340772
114	0.2297106021
115	0.2296925038
116	0.229678548
117	0.2296631694
118	0.2296432008
119	0.2295993461
120	0.2295795327
121	0.2295652629
122	0.2295515586
123	0.2295377153
124	0.2295258951
125	0.2295156453
126	0.229502536
127	0.2294813664
128	0.2294733056
129	0.2294622295
130	0.2294315662
131	0.2294217605
132	0.2294076192
133	0.2294013647
134	0.2293893203
135	0.2293705906
136	0.2293588563
137	0.2293511185
138	0.2293361658
139	0.2293201825
140	0.2293064845
141	0.2292972287
142	0.2292879779
143	0.2292475939
144	0.2292326014
145	0.2292237258
146	0.2292081272
147	0.2291705562
148	0.2291566525
149	0.2291476557
150	0.2291460704
151	0.2291421245
152	0.2291297195
153	0.229116569
154	0.2291111515
155	0.2291034371
156	0.2290744594
157	0.2290623618
158	0.2290529848
159	0.2290409957
160	0.2290332032
161	0.2290036029
162	0.2289952482
163	0.2289918199
164	0.2289772407
165	0.228965627
166	0.228958296
167	0.2289506561
168	0.2289455343
169	0.2289320859
170	0.2289157556
171	0.22891161
172	0.2289016336
173	0.2288921262
174	0.2288839586
175	0.2288552129
176	0.2288503038
177	0.2288421332
178	0.2288421052
179	0.2288342224
180	0.2288132092
181	0.228802987
182	0.2287933272
183	0.2287680549
184	0.2287585977
185	0.2287423002
186	0.2287323841
187	0.2287223463
188	0.2287118251
189	0.2287034747
190	0.2286687702
191	0.228660992
192	0.2286531583
193	0.2286479069
194	0.228633613
195	0.2286271745
196	0.228624076
197	0.2286032157
198	0.2285952406
199	0.2285911494
200	0.2285814474
201	0.2285744448
202	0.228574025
203	0.228569396
204	0.2285631999
205	0.2285621543
206	0.2285560402
207	0.2285408152
208	0.2285308889
209	0.2285278415
210	0.2285189145
211	0.2285118954
212	0.2285048235
213	0.2284994201
214	0.2284922325
215	0.2284759244
216	0.2284687027
217	0.2284611655
218	0.2284540139
219	0.2284474149
220	0.22843792
221	0.2284293388
222	0.2284098424
223	0.2283914192
224	0.2283856884
225	0.2283765683
226	0.2283733412
227	0.2283702041
228	0.2283591632
229	0.2283485186
230	0.2283399677
231	0.2283264631
232	0.228322246
233	0.2282980992
234	0.2282923185
235	0.2282796955
236	0.2282771659
237	0.228251345
238	0.2282438834
239	0.2282388309
240	0.2282355242
241	0.228223829
242	0.2282167801
243	0.2282102252
244	0.2281982641
245	0.2281928162
246	0.2281865823
247	0.2281788947
248	0.2281596558
249	0.2281564456
250	0.2281488706
